"id","model","month","Year_2015","Year_2016","Year_2017","Year_2018","Year_2019"
1,"Fiat 500","February",2333,1081,1131,416,207
2,"Fiat 500","March",3276,1490,1671,439,0
3,"Fiat 500","April",2498,1488,1201,335,0
4,"Fiat 500","May",2614,1553,1240,264,0
5,"Fiat 500","June",2283,1113,995,354,0
6,"Fiat 500","July",1959,1097,1026,363,0
7,"Fiat 500","August",2054,1243,937,563,0
8,"Fiat 500","September",1926,1481,1016,529,0
9,"Fiat 500","October",1286,1276,801,528,0
10,"Fiat 500","November",968,1147,782,707,0
11,"Fiat 500","December",1501,1411,667,418,0
12,"BMW 7-series","February",572,616,623,615,851
13,"BMW 7-series","March",732,850,935,823,0
14,"BMW 7-series","April",1507,872,994,546,0
15,"BMW 7-series","May",943,1012,524,1032,0
16,"BMW 7-series","June",832,1408,634,742,0
17,"BMW 7-series","July",916,1203,822,704,0
18,"BMW 7-series","August",90,1230,550,597,0
19,"BMW 7-series","September",134,1201,935,705,0
20,"BMW 7-series","October",618,1133,819,559,0
21,"BMW 7-series","November",1045,1233,788,603,0
22,"BMW 7-series","December",1266,1313,1107,983,0
23,"Make","Month",2015,2016,2017,2018,0
24,"Chevrolet Colorado","February",6563,7394,7519,8050,0
25,"Chevrolet Colorado","March",6621,9718,8426,12798,0
26,"Chevrolet Colorado","April",7010,10362,9221,0,0
27,"Chevrolet Colorado","May",8881,9196,9091,0,0
28,"Chevrolet Colorado","June",6558,9049,9631,0,0
29,"Chevrolet Colorado","July",7209,9195,11206,0,0
30,"Chevrolet Colorado","August",7114,9242,10256,0,0
31,"Chevrolet Colorado","September",7334,10383,11271,0,0
32,"Chevrolet Colorado","October",7059,10578,9990,0,0
33,"Chevrolet Colorado","November",6230,8669,10346,0,0
34,"Chevrolet Colorado","December",7909,9431,9626,0,0
35,"Make","Month",2015,2016,2017,2018,0
36,"Chevrolet Silverado","February",45395,43136,50504,42282,0
37,"Chevrolet Silverado","March",45193,47966,42410,52547,0
38,"Chevrolet Silverado","April",45978,49990,40154,0,0
39,"Chevrolet Silverado","May",51602,45035,43804,0,0
40,"Chevrolet Silverado","June",51548,49662,50515,0,0
41,"Chevrolet Silverado","July",56380,54116,45966,0,0
42,"Chevrolet Silverado","August",54977,52408,54448,0,0
43,"Chevrolet Silverado","September",53725,45380,55236,0,0
44,"Chevrolet Silverado","October",51647,49768,53157,0,0
45,"Chevrolet Silverado","November",45001,45280,46441,0,0
46,"Chevrolet Silverado","December",62992,54272,67676,0,0
47,"Make","Month",2015,2016,2017,2018,0
48,"GMC Canyon","February",2513,2440,2978,2319,0
49,"GMC Canyon","March",2434,2867,2490,2723,0
50,"GMC Canyon","April",2432,3026,2368,0,0
51,"GMC Canyon","May",2901,3361,2477,0,0
52,"GMC Canyon","June",2532,3398,2516,0,0
53,"GMC Canyon","July",2654,3532,2761,0,0
54,"GMC Canyon","August",2423,3363,2698,0,0
55,"GMC Canyon","September",2332,2949,2922,0,0
56,"GMC Canyon","October",2415,2785,2860,0,0
57,"GMC Canyon","November",2236,3410,2510,0,0
58,"GMC Canyon","December",3000,4048,3467,0,0
59,"Make","Month",2015,2016,2017,2018,0
60,"GMC Sierra","February",15157,15202,17618,13162,0
61,"GMC Sierra","March",17395,21548,18460,17082,0
62,"GMC Sierra","April",18082,20531,17400,0,0
63,"GMC Sierra","May",18977,17642,16200,0,0
64,"GMC Sierra","June",18618,17162,15743,0,0
65,"GMC Sierra","July",19808,22428,19963,0,0
66,"GMC Sierra","August",21241,17478,17254,0,0
67,"GMC Sierra","September",19754,18068,18106,0,0
68,"GMC Sierra","October",18521,15050,18895,0,0
69,"GMC Sierra","November",16527,18900,18136,0,0
70,"GMC Sierra","December",27438,23290,26436,0,0
71,"Honda Ridgeline","February",136,0,3265,2209,2186
72,"Honda Ridgeline","March",77,0,3778,2690,0
73,"Honda Ridgeline","April",43,1,3186,2459,0
74,"Honda Ridgeline","May",26,0,2956,2894,0
75,"Honda Ridgeline","June",7,2472,2730,2630,0
