,Resale-Cat,model,fuel_type,vehicle_class,displ,cyl,trans,drive,smog_rating,city_mpg,hwy_mpg,cmb_mpg,Greenhouse_gas_score,smartway,comb_CO2,Sales_2016,Sales_2017,Sales_2018
0,Low,BMW 740i,Gasoline,large car,3.0,6.0,SemiAuto-8,2WD,6,21.0,29.0,24.0,5,No,371.0,12071,8731,7909
1,Low,BMW 740i,Gasoline,large car,3.0,6.0,SemiAuto-8,2WD,6,21.0,29.0,24.0,5,No,371.0,12071,8731,7909
2,Low,BMW 750i,Gasoline,large car,4.4,8.0,SemiAuto-8,2WD,5,17.0,25.0,20.0,4,No,436.0,12071,8731,7909
3,Low,BMW 750i,Gasoline,large car,4.4,8.0,SemiAuto-8,2WD,6,17.0,25.0,20.0,4,No,436.0,12071,8731,7909
4,Low,BMW 750i,Gasoline,large car,4.4,8.0,SemiAuto-8,4WD,5,16.0,25.0,19.0,4,No,459.0,12071,8731,7909
5,Low,BMW 750i,Gasoline,large car,4.4,8.0,SemiAuto-8,4WD,6,16.0,25.0,19.0,4,No,459.0,12071,8731,7909
6,High,CHEVROLET Colorado,Gasoline,pickup,2.5,4.0,Auto-6,2WD,6,20.0,27.0,22.0,5,No,397.0,103217,106583,20848
7,High,CHEVROLET Colorado,Gasoline,pickup,2.5,4.0,Auto-6,2WD,6,20.0,27.0,22.0,5,No,397.0,103217,106583,20848
8,High,CHEVROLET Colorado,Gasoline,pickup,2.5,4.0,Auto-6,4WD,6,19.0,25.0,21.0,5,No,426.0,103217,106583,20848
9,High,CHEVROLET Colorado,Gasoline,pickup,2.5,4.0,Auto-6,4WD,6,19.0,25.0,21.0,5,No,426.0,103217,106583,20848
10,High,CHEVROLET Colorado,Gasoline,pickup,2.5,4.0,Man-6,2WD,6,19.0,26.0,22.0,5,No,406.0,103217,106583,20848
11,High,CHEVROLET Colorado,Gasoline,pickup,2.5,4.0,Man-6,2WD,6,19.0,26.0,22.0,5,No,406.0,103217,106583,20848
12,High,CHEVROLET Colorado,Diesel,pickup,2.8,4.0,Auto-6,2WD,5,22.0,31.0,25.0,5,No,406.0,103217,106583,20848
13,High,CHEVROLET Colorado,Diesel,pickup,2.8,4.0,Auto-6,2WD,6,22.0,31.0,25.0,5,No,406.0,103217,106583,20848
14,High,CHEVROLET Colorado,Diesel,pickup,2.8,4.0,Auto-6,4WD,5,20.0,29.0,23.0,4,No,445.0,103217,106583,20848
15,High,CHEVROLET Colorado,Diesel,pickup,2.8,4.0,Auto-6,4WD,6,20.0,29.0,23.0,4,No,445.0,103217,106583,20848
16,High,CHEVROLET Colorado,Gasoline,pickup,3.6,6.0,Auto-6,2WD,6,18.0,26.0,21.0,5,No,427.0,103217,106583,20848
17,High,CHEVROLET Colorado,Gasoline,pickup,3.6,6.0,Auto-6,2WD,6,18.0,26.0,21.0,5,No,427.0,103217,106583,20848
18,High,CHEVROLET Colorado,Gasoline,special purpose,3.6,6.0,Auto-6,2WD,6,15.0,17.0,16.0,3,No,555.0,103217,106583,20848
19,High,CHEVROLET Colorado,Gasoline,special purpose,3.6,6.0,Auto-6,2WD,6,15.0,17.0,16.0,3,No,555.0,103217,106583,20848
20,High,CHEVROLET Colorado,Gasoline,pickup,3.6,6.0,Auto-6,4WD,6,17.0,24.0,20.0,4,No,450.0,103217,106583,20848
21,High,CHEVROLET Colorado,Gasoline,pickup,3.6,6.0,Auto-6,4WD,6,17.0,24.0,20.0,4,No,450.0,103217,106583,20848
22,High,CHEVROLET Silverado 15,Ethanol/Gas,pickup,4.3,6.0,Auto-6,2WD,6,15.0,20.0,17.0,4,No,453.0,537013,550311,94829
23,High,CHEVROLET Silverado 15,Ethanol/Gas,pickup,4.3,6.0,Auto-6,2WD,6,15.0,20.0,17.0,4,No,453.0,537013,550311,94829
24,High,CHEVROLET Silverado 15,Ethanol/Gas,pickup,4.3,6.0,Auto-6,4WD,6,14.5,18.5,16.0,4,No,479.5,537013,550311,94829
25,High,CHEVROLET Silverado 15,Ethanol/Gas,pickup,4.3,6.0,Auto-6,4WD,6,14.5,18.5,16.0,4,No,479.5,537013,550311,94829
26,High,CHEVROLET Silverado 15,Ethanol/Gas,pickup,5.3,8.0,Auto-6,2WD,5,14.0,20.0,16.5,4,No,470.5,537013,550311,94829
27,High,CHEVROLET Silverado 15,Ethanol/Gas,pickup,5.3,8.0,Auto-6,2WD,6,14.0,20.0,16.5,4,No,470.5,537013,550311,94829
28,High,CHEVROLET Silverado 15,Gasoline,pickup,5.3,8.0,Auto-6,2WD,5,16.0,23.0,19.0,4,No,480.0,537013,550311,94829
29,High,CHEVROLET Silverado 15,Gasoline,special purpose,5.3,8.0,Auto-6,2WD,5,15.0,20.0,17.0,3,No,523.0,537013,550311,94829
30,High,CHEVROLET Silverado 15,Gasoline,pickup,5.3,8.0,Auto-6,2WD,6,16.0,23.0,19.0,4,No,480.0,537013,550311,94829
31,High,CHEVROLET Silverado 15,Gasoline,special purpose,5.3,8.0,Auto-6,2WD,6,15.0,20.0,17.0,3,No,523.0,537013,550311,94829
32,High,CHEVROLET Silverado 15,Ethanol/Gas,pickup,5.3,8.0,Auto-6,4WD,5,13.5,18.0,15.0,4,No,524.5,537013,550311,94829
33,High,CHEVROLET Silverado 15,Ethanol/Gas,pickup,5.3,8.0,Auto-6,4WD,6,13.5,18.0,15.0,4,No,524.5,537013,550311,94829
34,High,CHEVROLET Silverado 15,Gasoline,pickup,5.3,8.0,Auto-6,4WD,5,16.0,22.0,18.0,4,No,494.0,537013,550311,94829
35,High,CHEVROLET Silverado 15,Gasoline,special purpose,5.3,8.0,Auto-6,4WD,5,15.0,19.0,17.0,3,No,523.0,537013,550311,94829
36,High,CHEVROLET Silverado 15,Gasoline,pickup,5.3,8.0,Auto-6,4WD,6,16.0,22.0,18.0,4,No,494.0,537013,550311,94829
37,High,CHEVROLET Silverado 15,Gasoline,special purpose,5.3,8.0,Auto-6,4WD,6,15.0,19.0,17.0,3,No,523.0,537013,550311,94829
