Model,SUM(Year_2015),SUM(Year_2016),SUM(Year_2017),SUM(Year_2018),SUM(Year_2019)
BMW 7-series,8655,12071,8731,7909,851
Chevrolet Colorado,78488,103217,106583,20848,0
Chevrolet Silverado,564438,537013,550311,94829,0
Fiat 500,22698,14380,11467,4916,207
GMC Canyon,27872,35179,30047,5042,0
GMC Sierra,211518,207299,204211,30244,0
Honda Ridgeline,306,23666,32068,28486,2186
Jaguar XJ,3336,3542,2553,1348,109
Jeep Wrangler,191019,180991,179188,228293,15
Nissan Leaf,16199,13251,10458,14565,654
Smart Fortwo Electric Drive,1240,609,529,1148,58
Toyota 4Runner,90089,104456,119597,130025,10
Toyota Tacoma,168153,178914,185615,228947,18533
Toyota Tundra,110683,108257,109657,110614,759
